"","id","long","lat","timestamp.utc"
"17930","toni",31.75345052,-24.16950073,"2005-08-23 06:35:00.000"
"17931","toni",31.73884074,-24.15402018,"2005-08-23 07:34:00.000"
"17932","toni",31.73968913,-24.1535909,"2005-08-23 08:34:00.000"
"17933","toni",31.73873901,-24.15328979,"2005-08-23 09:35:00.000"
"17934","toni",31.73945923,-24.153361,"2005-08-23 10:34:00.000"
"17935","toni",31.73897909,-24.15362956,"2005-08-23 11:35:00.000"
"17936","toni",31.7394694,-24.15346069,"2005-08-23 12:35:00.000"
"17937","toni",31.74051921,-24.15450033,"2005-08-23 13:35:00.000"
"17938","toni",31.74145915,-24.16008911,"2005-08-23 14:36:00.000"
"17939","toni",31.74664917,-24.1754598,"2005-08-23 15:35:00.000"
"17940","toni",31.74531047,-24.17619019,"2005-08-23 16:35:00.000"
"17941","toni",31.75139974,-24.17942098,"2005-08-23 17:34:00.000"
"17942","toni",31.75347087,-24.1821696,"2005-08-23 18:35:00.000"
"17943","toni",31.75476074,-24.18369954,"2005-08-23 19:35:00.000"
"17944","toni",31.75549927,-24.184729,"2005-08-23 20:34:00.000"
"17945","toni",31.75744019,-24.18365072,"2005-08-23 21:35:00.000"
"17946","toni",31.75777995,-24.18269043,"2005-08-23 22:34:00.000"
"17947","toni",31.7603597,-24.18314006,"2005-08-23 23:35:00.000"
"17948","toni",31.76134033,-24.18338013,"2005-08-24 00:34:00.000"
"17949","toni",31.76200968,-24.18331909,"2005-08-24 01:34:00.000"
"17950","toni",31.76196086,-24.18322957,"2005-08-24 02:35:00.000"
"17951","toni",31.76657918,-24.19659017,"2005-08-24 03:34:00.000"
"17952","toni",31.77710978,-24.22565918,"2005-08-24 04:35:00.000"
"17953","toni",31.77710978,-24.2501709,"2005-08-24 05:35:00.000"
"17954","toni",31.7825297,-24.26229045,"2005-08-24 06:34:00.000"
"17955","toni",31.78578084,-24.2637207,"2005-08-24 07:35:00.000"
"17956","toni",31.78590088,-24.2639506,"2005-08-24 08:34:00.000"
"17957","toni",31.78870036,-24.26585083,"2005-08-24 09:34:00.000"
"17958","toni",31.7885498,-24.26798096,"2005-08-24 10:35:00.000"
"17959","toni",31.78921916,-24.26692912,"2005-08-24 11:34:00.000"
"17960","toni",31.78909912,-24.26692098,"2005-08-24 12:35:00.000"
"17961","toni",31.78907064,-24.26694946,"2005-08-24 13:34:00.000"
"17962","toni",31.79167074,-24.26968994,"2005-08-24 14:35:00.000"
"17963","toni",31.79651082,-24.26937052,"2005-08-24 15:35:00.000"
"17964","toni",31.7969401,-24.26902059,"2005-08-24 16:34:00.000"
"17965","toni",31.79901937,-24.26890055,"2005-08-24 17:35:00.000"
"17966","toni",31.80218099,-24.26895955,"2005-08-24 18:35:00.000"
"17967","toni",31.80239054,-24.26896973,"2005-08-24 19:35:00.000"
"17968","toni",31.80347087,-24.26663005,"2005-08-24 20:34:00.000"
"17969","toni",31.80489909,-24.26301066,"2005-08-24 21:34:00.000"
"17970","toni",31.80552979,-24.26055908,"2005-08-24 22:35:00.000"
"17971","toni",31.80492961,-24.25696004,"2005-08-24 23:35:00.000"
"17972","toni",31.80527954,-24.25369059,"2005-08-25 00:35:00.000"
"17973","toni",31.80537923,-24.25110067,"2005-08-25 01:34:00.000"
"17974","toni",31.80506999,-24.2514506,"2005-08-25 02:35:00.000"
"17975","toni",31.80506999,-24.25136922,"2005-08-25 03:34:00.000"
"17976","toni",31.80585938,-24.24731038,"2005-08-25 04:35:00.000"
"17977","toni",31.80550944,-24.23586019,"2005-08-25 05:34:00.000"
"17978","toni",31.80932007,-24.23503011,"2005-08-25 06:35:00.000"
"17979","toni",31.81531982,-24.23417969,"2005-08-25 07:35:00.000"
"17980","toni",31.81549072,-24.234139,"2005-08-25 08:34:00.000"
"17981","toni",31.81486003,-24.2344991,"2005-08-25 09:35:00.000"
"17982","toni",31.81526082,-24.2339091,"2005-08-25 10:35:00.000"
"17983","toni",31.81554972,-24.23441976,"2005-08-25 11:35:00.000"
"17984","toni",31.81490072,-24.23382975,"2005-08-25 12:34:00.000"
"17985","toni",31.81537069,-24.23411051,"2005-08-25 13:34:00.000"
"17986","toni",31.81845093,-24.23469035,"2005-08-25 14:35:00.000"
"17987","toni",31.82148031,-24.23566081,"2005-08-25 15:34:00.000"
"17988","toni",31.8232605,-24.23324992,"2005-08-25 16:35:00.000"
"17989","toni",31.82335002,-24.23248901,"2005-08-25 17:34:00.000"
"17990","toni",31.82286987,-24.23163045,"2005-08-25 18:34:00.000"
"17991","toni",31.82222087,-24.23028971,"2005-08-25 19:35:00.000"
"17992","toni",31.82154948,-24.22957967,"2005-08-25 20:34:00.000"
"17993","toni",31.82165934,-24.22937012,"2005-08-25 21:34:00.000"
"17994","toni",31.82222087,-24.22888997,"2005-08-25 22:35:00.000"
"17995","toni",31.82164917,-24.22775065,"2005-08-25 23:35:00.000"
"17996","toni",31.82152913,-24.22674967,"2005-08-26 00:35:00.000"
"17997","toni",31.82282918,-24.22682088,"2005-08-26 01:34:00.000"
"17998","toni",31.82245076,-24.22692057,"2005-08-26 02:35:00.000"
"17999","toni",31.82253011,-24.22699992,"2005-08-26 03:35:00.000"
"18000","toni",31.82521973,-24.22976074,"2005-08-26 04:35:00.000"
"18001","toni",31.82837931,-24.23511963,"2005-08-26 05:34:00.000"
"18002","toni",31.82699992,-24.23545939,"2005-08-26 06:35:00.000"
"18003","toni",31.82512004,-24.23488973,"2005-08-26 07:35:00.000"
"18004","toni",31.82327067,-24.23496094,"2005-08-26 08:34:00.000"
"18005","toni",31.82314046,-24.234729,"2005-08-26 09:35:00.000"
"18006","toni",31.82640991,-24.23412069,"2005-08-26 10:34:00.000"
"18007","toni",31.82773031,-24.23577067,"2005-08-26 11:35:00.000"
"18008","toni",31.82808024,-24.23594971,"2005-08-26 12:35:00.000"
"18009","toni",31.82790934,-24.23602091,"2005-08-26 13:34:00.000"
"18010","toni",31.82541097,-24.23637899,"2005-08-26 14:35:00.000"
"18011","toni",31.82098999,-24.23390096,"2005-08-26 15:34:00.000"
"18012","toni",31.81890055,-24.23218994,"2005-08-26 16:34:00.000"
"18013","toni",31.81995036,-24.22795003,"2005-08-26 17:34:00.000"
"18014","toni",31.81934001,-24.2269104,"2005-08-26 18:35:00.000"
"18015","toni",31.81848958,-24.22652995,"2005-08-26 19:35:00.000"
"18016","toni",31.8170105,-24.22532959,"2005-08-26 20:34:00.000"
"18017","toni",31.81578979,-24.225059,"2005-08-26 21:34:00.000"
"18018","toni",31.81358032,-24.22521973,"2005-08-26 22:34:00.000"
"18019","toni",31.81116943,-24.22279053,"2005-08-26 23:34:00.000"
"18020","toni",31.81011963,-24.22265015,"2005-08-27 00:34:00.000"
"18021","toni",31.80946045,-24.22179972,"2005-08-27 01:34:00.000"
"18022","toni",31.80865072,-24.22149048,"2005-08-27 02:35:00.000"
"18023","toni",31.8086202,-24.22151082,"2005-08-27 03:34:00.000"
"18024","toni",31.80656942,-24.22158,"2005-08-27 04:34:00.000"
"18025","toni",31.80348918,-24.22127075,"2005-08-27 05:34:00.000"
